Entity,Code,Year,EatingDisorderPrevalancePercent,GNI,DepressionPrevalancePerc,Life satisfaction in Cantril Ladder (World Happiness Report 2022),
Pakistan,PAK,2019,0.13,1620,4.1,4.934000015,
Palau,PLW,2015,0.12,15860,3.26,,
Palau,PLW,2016,0.12,16720,3.25,,
Palau,PLW,2017,0.13,16540,3.25,,
Palau,PLW,2018,0.13,17380,3.25,,
Palau,PLW,2019,0.13,16710,3.25,,
Palestine,PSE,2015,0.16,,6.89,4.62813282,
Palestine,PSE,2016,0.17,,6.69,4.5539217,
Palestine,PSE,2017,0.17,,6.54,4.48253727,
Palestine,PSE,2018,0.17,,6.53,,
Palestine,PSE,2019,0.17,,6.54,4.516699791,
Panama,PAN,2015,0.29,12200,3.11,6.567658901,
Panama,PAN,2016,0.29,12780,3.12,6.281434059,
Panama,PAN,2017,0.29,13750,3.12,6.085955143,
Panama,PAN,2018,0.3,14490,3.12,,
Panama,PAN,2019,0.3,14920,3.12,6.179599762,
Papua New Guinea,PNG,2015,0.08,2860,3.14,,
Papua New Guinea,PNG,2016,0.08,2710,3.14,,
Papua New Guinea,PNG,2017,0.08,2590,3.14,,
Papua New Guinea,PNG,2018,0.08,2600,3.14,,
Papua New Guinea,PNG,2019,0.08,2720,3.14,,
Paraguay,PRY,2015,0.22,5640,3.91,5.71329546,
Paraguay,PRY,2016,0.22,5420,3.91,,
Paraguay,PRY,2017,0.22,5370,3.91,5.652625561,
Paraguay,PRY,2018,0.23,5600,3.91,,
Paraguay,PRY,2019,0.23,5510,3.9,5.652599812,
Peru,PER,2015,0.3,6340,2.31,5.710936546,
Peru,PER,2016,0.3,6110,2.31,5.679661274,
Peru,PER,2017,0.31,6060,2.32,5.999381542,
Peru,PER,2018,0.31,6480,2.32,,
Peru,PER,2019,0.31,6840,2.33,5.839600086,
Philippines,PHL,2015,0.1,3380,2.85,5.594270229,
Philippines,PHL,2016,0.1,3450,2.86,5.869172573,
Philippines,PHL,2017,0.11,3530,2.86,6.267745018,
Philippines,PHL,2018,0.11,3710,2.87,5.079585075,
Philippines,PHL,2019,0.11,3850,2.89,5.880199909,
Poland,POL,2015,0.19,13310,2.29,6.201268196,
Poland,POL,2016,0.2,12720,2.29,6.111485004,
Poland,POL,2017,0.2,12730,2.3,6.24209404,
Poland,POL,2018,0.2,14150,2.36,6.139455318,
Poland,POL,2019,0.2,15360,2.48,6.166100025,
Portugal,PRT,2015,0.45,20460,4.71,5.711499214,
Portugal,PRT,2016,0.46,19940,4.76,5.919822693,
Portugal,PRT,2017,0.46,20060,4.81,6.095473289,
Portugal,PRT,2018,0.46,22060,4.81,5.767792225,
Portugal,PRT,2019,0.46,23200,4.81,5.928999901,
Puerto Rico,PRI,2015,0.33,19420,2.98,,
Puerto Rico,PRI,2016,0.33,19710,2.98,,
Puerto Rico,PRI,2017,0.33,20000,2.99,,
Puerto Rico,PRI,2018,0.33,21080,3.01,,
Puerto Rico,PRI,2019,0.33,22060,3.04,,
Qatar,QAT,2015,0.36,73440,4.15,,
Qatar,QAT,2016,0.37,64550,4.15,,
Qatar,QAT,2017,0.37,56920,4.15,,
Qatar,QAT,2018,0.37,58830,4.17,,
Qatar,QAT,2019,0.37,61180,4.21,,
Romania,ROU,2015,0.16,9600,2.83,6.089904785,
Romania,ROU,2016,0.17,9620,2.83,6.150878906,
Romania,ROU,2017,0.17,10110,2.83,6.129942417,
Romania,ROU,2018,0.17,11430,2.83,,
Romania,ROU,2019,0.17,12620,2.83,6.139999866,
Russia,RUS,2015,0.17,11780,3.36,5.578742981,
Russia,RUS,2016,0.17,9730,3.36,5.513500214,
Russia,RUS,2017,0.17,9210,3.36,5.440523624,
Russia,RUS,2018,0.17,10250,3.35,5.495288849,
Russia,RUS,2019,0.17,11280,3.32,5.477200031,
Rwanda,RWA,2015,0.09,750,5.19,3.10837388,
Rwanda,RWA,2016,0.09,740,5.2,3.5610466,
Rwanda,RWA,2017,0.09,730,5.22,3.268152237,
Rwanda,RWA,2018,0.1,780,5.23,,
Rwanda,RWA,2019,0.1,830,5.25,3.414700031,
Saint Kitts and Nevis,KNA,2015,0.3,,4.13,,
Saint Kitts and Nevis,KNA,2016,0.3,,4.13,,
Saint Kitts and Nevis,KNA,2017,0.3,,4.13,,
Saint Kitts and Nevis,KNA,2018,0.3,,4.14,,
Saint Kitts and Nevis,KNA,2019,0.3,,4.15,,
Saint Lucia,LCA,2015,0.22,,3.4,,
Saint Lucia,LCA,2016,0.23,,3.4,,
Saint Lucia,LCA,2017,0.23,,3.4,,
Saint Lucia,LCA,2018,0.23,,3.43,,
Saint Lucia,LCA,2019,0.23,,3.47,,
Saint Vincent and the Grenadines,VCT,2015,0.22,,3.45,,
Saint Vincent and the Grenadines,VCT,2016,0.22,,3.44,,
Saint Vincent and the Grenadines,VCT,2017,0.22,,3.44,,
Saint Vincent and the Grenadines,VCT,2018,0.22,,3.46,,
Saint Vincent and the Grenadines,VCT,2019,0.22,,3.51,,
Samoa,WSM,2015,0.1,3960,2.91,,
Samoa,WSM,2016,0.1,4110,2.9,,
Samoa,WSM,2017,0.1,4070,2.9,,
Samoa,WSM,2018,0.1,4050,2.91,,
Samoa,WSM,2019,0.1,4230,2.92,,
San Marino,SMR,2015,0.57,,4.49,,
San Marino,SMR,2016,0.57,,4.49,,
San Marino,SMR,2017,0.56,,4.5,,
San Marino,SMR,2018,0.56,,4.5,,
San Marino,SMR,2019,0.56,,4.5,,
Sao Tome and Principe,STP,2015,0.11,1650,3.76,,
Sao Tome and Principe,STP,2016,0.11,1690,3.76,,
Sao Tome and Principe,STP,2017,0.11,1700,3.77,,
Sao Tome and Principe,STP,2018,0.11,1870,3.79,,
Sao Tome and Principe,STP,2019,0.11,1950,3.83,,
Saudi Arabia,SAU,2015,0.29,23710,4.4,6.294282436,
Saudi Arabia,SAU,2016,0.29,21610,4.38,6.356393337,
Saudi Arabia,SAU,2017,0.29,19990,4.37,6.561247349,
Saudi Arabia,SAU,2018,0.29,21860,4.38,6.559588432,
Saudi Arabia,SAU,2019,0.29,23220,4.42,6.493999958,
Scotland,,2015,0.43,,4.29,,
Scotland,,2016,0.43,,4.28,,
Scotland,,2017,0.43,,4.28,,
Scotland,,2018,0.44,,4.27,,
Scotland,,2019,0.44,,4.27,,
Senegal,SEN,2015,0.1,1310,4.05,4.683024883,
Senegal,SEN,2016,0.1,1270,4.05,4.769377232,
Senegal,SEN,2017,0.1,1280,4.05,5.488736629,
Senegal,SEN,2018,0.1,1390,4.07,,
Senegal,SEN,2019,0.11,1440,4.1,5.131800175,
Serbia,SRB,2015,0.15,5960,2.99,5.122031212,
Serbia,SRB,2016,0.15,5700,3.01,5.936493397,
Serbia,SRB,2017,0.15,5570,3.02,6.241407394,
Serbia,SRB,2018,0.15,6410,3.02,6.041546345,
Serbia,SRB,2019,0.15,7040,3.02,6.077899933,
Seychelles,SYC,2015,0.15,14160,2.77,,
Seychelles,SYC,2016,0.15,14240,2.76,,
Seychelles,SYC,2017,0.16,14660,2.76,,
Seychelles,SYC,2018,0.16,15960,2.77,,
Seychelles,SYC,2019,0.16,16680,2.79,,
Sierra Leone,SLE,2015,0.09,550,4.46,4.089562416,
Sierra Leone,SLE,2016,0.09,490,4.46,4.305683136,
Sierra Leone,SLE,2017,0.09,520,4.46,3.447381496,
Sierra Leone,SLE,2018,0.09,490,4.46,,
Sierra Leone,SLE,2019,0.09,530,4.46,3.849400043,
Singapore,SGP,2015,0.48,53160,2.15,6.378437996,
Singapore,SGP,2016,0.48,53250,2.16,6.374564171,
Singapore,SGP,2017,0.49,54590,2.17,6.378359795,
Singapore,SGP,2018,0.5,56670,2.18,,
Singapore,SGP,2019,0.5,58060,2.2,6.37650013,
Slovakia,SVK,2015,0.19,17700,2.9,6.365509033,
Slovakia,SVK,2016,0.19,16790,2.9,6.23511076,
Slovakia,SVK,2017,0.19,16620,2.9,6.243428707,
Slovakia,SVK,2018,0.19,18340,2.9,6.519098282,
Slovakia,SVK,2019,0.2,19250,2.9,6.330900192,
Slovenia,SVN,2015,0.19,22270,3.38,6.166837692,
Slovenia,SVN,2016,0.2,21790,3.38,6.249419212,
Slovenia,SVN,2017,0.2,22140,3.39,6.665273666,
Slovenia,SVN,2018,0.2,24640,3.38,6.462076187,
Slovenia,SVN,2019,0.2,25980,3.37,6.460700035,
Solomon Islands,SLB,2015,0.07,2130,3.08,,
Solomon Islands,SLB,2016,0.07,2140,3.08,,
Solomon Islands,SLB,2017,0.07,2220,3.08,,
Solomon Islands,SLB,2018,0.07,2360,3.08,,
Solomon Islands,SLB,2019,0.07,2370,3.09,,
Somalia,SOM,2015,0.05,400,4.93,,
Somalia,SOM,2016,0.05,400,4.93,,
Somalia,SOM,2017,0.05,380,4.94,,
Somalia,SOM,2018,0.05,400,4.94,,
Somalia,SOM,2019,0.05,420,4.94,,
South Africa,ZAF,2015,0.17,6610,4.38,4.513655186,
South Africa,ZAF,2016,0.17,5990,4.45,4.8839221,
South Africa,ZAF,2017,0.17,5910,4.5,5.034863472,
South Africa,ZAF,2018,0.17,6340,4.49,4.946800709,
South Africa,ZAF,2019,0.17,6670,4.45,4.956399918,
South Korea,KOR,2015,0.37,28720,2.32,5.873887062,
South Korea,KOR,2016,0.37,29330,2.29,5.840231419,
South Korea,KOR,2017,0.37,30300,2.26,5.902816772,
South Korea,KOR,2018,0.38,32750,2.26,5.792695522,
South Korea,KOR,2019,0.38,33830,2.27,5.845499992,
South Sudan,SSD,2015,0.15,1090,4.78,2.816622496,
South Sudan,SSD,2016,0.15,,4.8,,
South Sudan,SSD,2017,0.16,,4.82,,
South Sudan,SSD,2018,0.16,,4.83,,
South Sudan,SSD,2019,0.16,,4.85,,
Spain,ESP,2015,0.64,28450,5.02,6.230173111,
Spain,ESP,2016,0.64,27550,5.06,6.513370991,
Spain,ESP,2017,0.65,27100,5.11,6.457449436,
Spain,ESP,2018,0.65,29310,5.15,6.502175331,
Spain,ESP,2019,0.65,30380,5.19,6.490699768,
Sri Lanka,LKA,2015,0.12,3760,3,4.330945492,
Sri Lanka,LKA,2016,0.12,3810,3,4.435023785,
Sri Lanka,LKA,2017,0.12,3870,3.01,4.213299274,
Sri Lanka,LKA,2018,0.12,4040,3.01,,
Sri Lanka,LKA,2019,0.13,4010,3.02,4.324999809,
Sudan,SDN,2015,0.15,1920,4.57,,
Sudan,SDN,2016,0.15,2160,4.57,,
Sudan,SDN,2017,0.15,2420,4.58,,
Sudan,SDN,2018,0.15,1390,4.59,,
Sudan,SDN,2019,0.15,940,4.61,,
Suriname,SUR,2015,0.23,8890,4.92,,
Suriname,SUR,2016,0.24,6940,4.92,,
Suriname,SUR,2017,0.24,5940,4.93,,
Suriname,SUR,2018,0.24,5970,4.92,,
Suriname,SUR,2019,0.24,6190,4.89,,
Sweden,SWE,2015,0.54,58420,4.49,7.286804676,
Sweden,SWE,2016,0.55,54360,4.49,7.374792099,
Sweden,SWE,2017,0.55,53030,4.49,7.398092747,
Sweden,SWE,2018,0.56,55690,4.49,7.314341068,
Sweden,SWE,2019,0.56,56420,4.47,7.362699986,
Switzerland,CHE,2015,0.54,87960,4.09,7.473593235,
Switzerland,CHE,2016,0.54,84420,4.1,7.508586884,
Switzerland,CHE,2017,0.54,81880,4.11,7.69422102,
Switzerland,CHE,2018,0.54,83280,4.11,7.508435249,
Switzerland,CHE,2019,0.54,84260,4.08,7.571499825,
Syria,SYR,2015,0.17,1020,4.23,,
Syria,SYR,2016,0.17,860,4.24,,
Syria,SYR,2017,0.17,820,4.24,,
Syria,SYR,2018,0.17,930,4.28,,
Syria,SYR,2019,0.17,,4.35,,
Taiwan,TWN,2015,0.18,,2.77,6.359450817,
Taiwan,TWN,2016,0.18,,2.76,6.467004776,
Taiwan,TWN,2017,0.18,,2.76,6.537089825,
Taiwan,TWN,2018,0.19,,2.76,6.751067638,
Taiwan,TWN,2019,0.19,,2.77,6.584400177,
Tajikistan,TJK,2015,0.09,1260,2.94,5.829234123,
Tajikistan,TJK,2016,0.09,1110,2.94,5.497468948,
Tajikistan,TJK,2017,0.09,1030,2.95,5.464015484,
Tajikistan,TJK,2018,0.09,1030,2.96,5.373398781,
Tajikistan,TJK,2019,0.09,1070,2.97,5.466199875,
Tanzania,TZA,2015,0.1,980,4.7,3.347121239,
Tanzania,TZA,2016,0.1,970,4.71,3.445023298,
Tanzania,TZA,2017,0.11,970,4.73,3.640154839,
Tanzania,TZA,2018,0.11,1030,4.74,3.785684109,
Tanzania,TZA,2019,0.11,1100,4.77,3.62319994,
Thailand,THA,2015,0.13,5710,3.01,5.938895226,
Thailand,THA,2016,0.13,5700,3.01,6.011561871,
Thailand,THA,2017,0.14,5970,3,6.02215147,
Thailand,THA,2018,0.14,6610,3,5.884544373,
Thailand,THA,2019,0.14,7250,2.99,5.984700203,
Timor,TLS,2015,0.1,2200,2.88,,
Timor,TLS,2016,0.1,1750,2.88,,
Timor,TLS,2017,0.1,1800,2.88,,
Timor,TLS,2018,0.1,1820,2.88,,
Timor,TLS,2019,0.1,2050,2.89,,
Togo,TGO,2015,0.09,640,4.55,4.360805035,
Togo,TGO,2016,0.09,670,4.56,4.022894859,
Togo,TGO,2017,0.09,720,4.57,4.179493904,
Togo,TGO,2018,0.09,880,4.57,,
Togo,TGO,2019,0.09,920,4.58,4.106800079,
Tokelau,TKL,2015,0.1,,3.27,,
Tokelau,TKL,2016,0.1,,3.26,,
Tokelau,TKL,2017,0.11,,3.26,,
Tokelau,TKL,2018,0.11,,3.26,,
Tokelau,TKL,2019,0.11,,3.26,,
Tonga,TON,2015,0.09,4440,2.79,,
Tonga,TON,2016,0.1,4410,2.79,,
Tonga,TON,2017,0.1,4590,2.79,,
Tonga,TON,2018,0.1,4800,2.8,,
Tonga,TON,2019,0.1,5150,2.82,,
Trinidad and Tobago,TTO,2015,0.3,19030,4,6.191859722,
Trinidad and Tobago,TTO,2016,0.3,16870,3.99,,
Trinidad and Tobago,TTO,2017,0.3,16120,3.99,,
Trinidad and Tobago,TTO,2018,0.3,16120,4,,
Trinidad and Tobago,TTO,2019,0.3,16740,4.03,,
Tunisia,TUN,2015,0.21,4190,5.28,4.124342918,
Tunisia,TUN,2016,0.21,3980,5.27,4.741132259,
Tunisia,TUN,2017,0.22,3750,5.27,4.315479755,
Tunisia,TUN,2018,0.22,3760,5.29,4.730811119,
Tunisia,TUN,2019,0.22,3620,5.34,4.59649992,
Turkey,TUR,2015,0.29,12030,4.27,5.607262135,
Turkey,TUR,2016,0.3,11260,4.21,5.185689449,
Turkey,TUR,2017,0.3,10970,4.16,4.87207365,
Turkey,TUR,2018,0.31,10510,4.15,4.861554146,
Turkey,TUR,2019,0.31,9690,4.16,4.947599888,
Turkmenistan,TKM,2015,0.15,7030,3.26,5.229148865,
Turkmenistan,TKM,2016,0.15,6830,3.25,4.620601654,
Turkmenistan,TKM,2017,0.16,6380,3.25,5.474299908,
Turkmenistan,TKM,2018,0.16,6740,3.25,,
Turkmenistan,TKM,2019,0.16,7220,3.25,5.066400051,
Tuvalu,TUV,2015,0.08,5580,3.26,,
Tuvalu,TUV,2016,0.08,5300,3.25,,
Tuvalu,TUV,2017,0.08,5070,3.25,,
Tuvalu,TUV,2018,0.08,5820,3.25,,
Tuvalu,TUV,2019,0.09,6240,3.25,,
Uganda,UGA,2015,0.09,830,6.69,4.000516891,
Uganda,UGA,2016,0.1,800,6.7,4.321714878,
Uganda,UGA,2017,0.1,740,6.7,4.948051453,
Uganda,UGA,2018,0.1,750,6.7,4.640909672,
Uganda,UGA,2019,0.1,780,6.69,4.636499882,
Ukraine,UKR,2015,0.13,2800,4.18,4.311067104,
Ukraine,UKR,2016,0.13,2360,4.19,4.661909103,
Ukraine,UKR,2017,0.13,2360,4.2,4.701762199,
Ukraine,UKR,2018,0.13,2750,4.2,5.269675732,
Ukraine,UKR,2019,0.13,3310,4.2,4.874800205,
United Arab Emirates,ARE,2015,0.3,42870,3.72,7.039419651,
United Arab Emirates,ARE,2016,0.31,40550,3.72,6.603743553,
United Arab Emirates,ARE,2017,0.31,39280,3.72,6.710782528,
United Arab Emirates,ARE,2018,0.31,41470,3.73,6.458392143,
United Arab Emirates,ARE,2019,0.32,43830,3.76,6.560500145,
United Kingdom,GBR,2015,0.46,44730,4.57,7.103273392,
United Kingdom,GBR,2016,0.46,43460,4.53,7.233445168,
United Kingdom,GBR,2017,0.46,41880,4.5,7.157151222,
United Kingdom,GBR,2018,0.47,42410,4.5,6.798177242,
United Kingdom,GBR,2019,0.47,43460,4.5,7.063600063,
United States,USA,2015,0.45,56620,4.75,6.9917593,
United States,USA,2016,0.46,57140,4.74,6.882684708,
United States,USA,2017,0.46,59250,4.74,6.943701267,
United States,USA,2018,0.46,63490,4.73,7.028088093,
United States,USA,2019,0.46,65970,4.73,6.951499939,
United States Virgin Islands,VIR,2015,0.38,,3.49,,
United States Virgin Islands,VIR,2016,0.37,,3.49,,
United States Virgin Islands,VIR,2017,0.37,,3.49,,
United States Virgin Islands,VIR,2018,0.37,,3.51,,
United States Virgin Islands,VIR,2019,0.37,,3.55,,
Uruguay,URY,2015,0.37,15620,3.11,6.336009979,
Uruguay,URY,2016,0.37,15440,3.1,6.371714592,
Uruguay,URY,2017,0.38,15920,3.09,6.600337029,
Uruguay,URY,2018,0.38,17280,3.09,6.309681416,
Uruguay,URY,2019,0.38,17770,3.07,6.431399822,
Uzbekistan,UZB,2015,0.12,2740,3.35,6.421447754,
Uzbekistan,UZB,2016,0.12,2790,3.35,6.205460072,
Uzbekistan,UZB,2017,0.12,2470,3.35,6.154049397,
Uzbekistan,UZB,2018,0.12,2110,3.34,,
Uzbekistan,UZB,2019,0.12,1870,3.34,6.178800106,
Vanuatu,VUT,2015,0.08,2820,3.05,,
Vanuatu,VUT,2016,0.08,2830,3.05,,
Vanuatu,VUT,2017,0.08,2900,3.05,,
Vanuatu,VUT,2018,0.08,3170,3.05,,
Vanuatu,VUT,2019,0.08,3440,3.06,,
Venezuela,VEN,2015,0.24,,3.34,5.070750713,
Venezuela,VEN,2016,0.24,,3.35,5.005663395,
Venezuela,VEN,2017,0.23,,3.36,5.080803394,
Venezuela,VEN,2018,0.23,,3.36,4.573829651,
Venezuela,VEN,2019,0.22,,3.36,4.892199993,
Vietnam,VNM,2015,0.09,2460,2.58,5.175278664,
Vietnam,VNM,2016,0.09,2570,2.58,5.295547009,
Vietnam,VNM,2017,0.1,2700,2.58,5.467451096,
Vietnam,VNM,2018,0.1,3030,2.58,,
Vietnam,VNM,2019,0.1,3280,2.58,5.41079998,
Wales,,2015,0.44,,4.52,,
Wales,,2016,0.44,,4.53,,
Wales,,2017,0.44,,4.54,,
Wales,,2018,0.45,,4.54,,
Wales,,2019,0.45,,4.55,,
Yemen,YEM,2015,0.14,1200,5.04,3.253560066,
Yemen,YEM,2016,0.14,1160,5.03,3.057513952,
Yemen,YEM,2017,0.14,1080,5.02,4.196912766,
Yemen,YEM,2018,0.13,910,5.03,,
Yemen,YEM,2019,0.13,820,5.04,3.657900095,
Zambia,ZMB,2015,0.11,1580,4.27,3.932777405,
Zambia,ZMB,2016,0.11,1370,4.28,4.041488171,
Zambia,ZMB,2017,0.12,1300,4.29,3.306796551,
Zambia,ZMB,2018,0.12,1440,4.3,4.837992191,
Zambia,ZMB,2019,0.12,1430,4.3,4.073400021,
Zimbabwe,ZWE,2015,0.1,1390,3.55,3.63830018,
Zimbabwe,ZWE,2016,0.1,1390,3.56,3.616479874,
Zimbabwe,ZWE,2017,0.1,1350,3.56,2.693523169,
Zimbabwe,ZWE,2018,0.1,1350,3.56,3.159802198,
Zimbabwe,ZWE,2019,0.1,1210,3.55,3.144799948,