YearCode,Entity,Code,Year,GNI,EatingDisorderPrevalancePercent,DepressionPrevalancePerc,DeathsBySuicide,LifeSatisfactionRate,DeathsHeartDisease,HealthCareExpenditure
LUX-2018,Luxembourg,LUX,2018,79540,0.62,3.54,1.7,,32.05,6423.08
LUX-2019,Luxembourg,LUX,2019,77110,0.63,3.54,1.67,7.324399948,32.12,6756.88
MDG-2015,Madagascar,MDG,2015,490,0.09,3.54,0.84,7.061380863,19.38,76.91
MDG-2016,Madagascar,MDG,2016,470,0.09,4.83,0.87,4.070586681,19.9,84.46
MDG-2017,Madagascar,MDG,2017,470,0.09,4.84,0.89,4.339087486,20.42,76.75
MDG-2018,Madagascar,MDG,2018,500,0.09,4.85,0.91,,21,69.98
MDG-2019,Madagascar,MDG,2019,520,0.09,4.87,0.93,4.208499908,21.54,65.23
MWI-2015,Malawi,MWI,2015,350,0.08,4.82,0.9,4.078620434,11.53,95.53
MWI-2016,Malawi,MWI,2016,340,0.08,4.21,0.93,3.334633589,11.88,112.73
MWI-2017,Malawi,MWI,2017,380,0.08,4.22,0.97,3.869123697,12.37,111.65
MWI-2018,Malawi,MWI,2018,440,0.08,4.22,1.01,,12.97,104.85
MWI-2019,Malawi,MWI,2019,560,0.08,4.22,1.03,3.599999905,13.43,81.7
MYS-2015,Malaysia,MYS,2015,10680,0.15,4.21,1.01,3.416862965,32.26,946.98
MYS-2016,Malaysia,MYS,2016,10150,0.15,3.85,1.02,5.338817596,32.62,941.55
MYS-2017,Malaysia,MYS,2017,9950,0.16,3.85,1.02,5.427954197,32.83,987.58
MYS-2018,Malaysia,MYS,2018,10650,0.16,3.86,1.02,,33.15,1058.13
MYS-2019,Malaysia,MYS,2019,11260,0.16,3.89,1.02,5.384300232,33.44,1132.99
MDV-2015,Maldives,MDV,2015,7650,0.12,3.85,1.25,,33.28,1457.26
MDV-2016,Maldives,MDV,2016,8070,0.12,3.07,1.29,5.197574615,33.52,1790.04
MDV-2017,Maldives,MDV,2017,8600,0.13,3.06,1.32,,33.92,1668.81
MDV-2018,Maldives,MDV,2018,9210,0.13,3.05,1.33,,34.41,1473.38
MDV-2019,Maldives,MDV,2019,9640,0.13,3.05,1.34,5.197599888,34.77,1639.8
MLI-2015,Mali,MLI,2015,800,0.09,3.08,0.41,,8.95,83.57
MLI-2016,Mali,MLI,2016,780,0.09,3.55,0.43,4.415729523,9.23,82.61
MLI-2017,Mali,MLI,2017,770,0.09,3.56,0.45,4.98799181,9.42,82.55
MLI-2018,Mali,MLI,2018,830,0.09,3.58,0.46,,9.54,87.32
MLI-2019,Mali,MLI,2019,860,0.09,3.6,0.47,4.723499775,9.71,94.55
MLT-2015,Malta,MLT,2015,25230,0.44,3.54,0.7,4.741850376,39.36,3373.24
MLT-2016,Malta,MLT,2016,23440,0.44,3.33,0.68,6.909710884,39.5,3599.07
MLT-2017,Malta,MLT,2017,24710,0.45,3.33,0.66,6.73297739,39.47,3873.25
MLT-2018,Malta,MLT,2018,27950,0.46,3.37,0.65,6.156822681,39.48,4121.23
MLT-2019,Malta,MLT,2019,29330,0.46,3.44,0.64,6.602000237,39.44,4039.61
MHL-2015,Marshall Islands,MHL,2015,4290,0.08,3.34,3.03,6.675665855,35.83,513.86
MHL-2016,Marshall Islands,MHL,2016,4250,0.08,2.98,2.99,,36.09,532.44
MHL-2017,Marshall Islands,MHL,2017,4440,0.08,2.99,2.96,,36.41,517.25
MHL-2018,Marshall Islands,MHL,2018,4840,0.09,2.99,2.89,,36.7,574.38
MHL-2019,Marshall Islands,MHL,2019,5050,0.09,2.99,2.81,,36.95,592.61
MRT-2015,Mauritania,MRT,2015,1640,0.11,2.98,0.7,,17.7,154.3
MRT-2016,Mauritania,MRT,2016,1510,0.12,3.73,0.7,4.313615322,17.77,145.54
MRT-2017,Mauritania,MRT,2017,1530,0.12,3.73,0.73,4.152619362,18.39,169.44
MRT-2018,Mauritania,MRT,2018,1640,0.12,3.74,0.73,,18.62,184.87
MRT-2019,Mauritania,MRT,2019,1720,0.12,3.76,0.74,4.227399826,18.9,187.05
MUS-2015,Mauritius,MUS,2015,10700,0.14,3.72,1.23,4.678159714,29.96,1098.83
MUS-2016,Mauritius,MUS,2016,10640,0.14,3.95,1.17,5.88174057,30.14,1182.88
MUS-2017,Mauritius,MUS,2017,10980,0.14,3.95,1.13,6.241165161,30.28,1244.21
MUS-2018,Mauritius,MUS,2018,12270,0.14,3.95,1.09,6.015300274,30.66,1332.72
MUS-2019,Mauritius,MUS,2019,12840,0.14,3.95,1.06,6.048999786,30.9,1475.96
MEX-2015,Mexico,MEX,2015,10160,0.25,3.96,1.1,6.174117565,22.62,1047.35
MEX-2016,Mexico,MEX,2016,9390,0.25,3.76,1.11,6.549578667,22.63,1073.13
MEX-2017,Mexico,MEX,2017,8920,0.26,3.76,1.13,6.431945324,22.61,1076.31
MEX-2018,Mexico,MEX,2018,9180,0.26,3.76,1.12,5.964221001,22.53,1089.61
MEX-2019,Mexico,MEX,2019,9470,0.26,3.77,1.06,6.316800117,22.69,1110.94
FSM-2015,Micronesia (country),FSM,2015,3490,0.08,3.75,2.59,6.410299301,35.01,366.98
FSM-2016,Micronesia (country),FSM,2016,3410,0.08,3.01,2.58,,35.17,390.33
FSM-2017,Micronesia (country),FSM,2017,3450,0.08,3.01,2.56,,35.25,375.87
FSM-2018,Micronesia (country),FSM,2018,3400,0.08,3.01,2.52,,35.27,365.43
FSM-2019,Micronesia (country),FSM,2019,3940,0.08,3.02,2.47,,35.28,364.21
MDA-2015,Moldova,MDA,2015,3300,0.11,3.01,1.53,,55.9,631.46
MDA-2016,Moldova,MDA,2016,3180,0.11,3.46,1.47,5.682277203,56.58,630.58
MDA-2017,Moldova,MDA,2017,3330,0.11,3.46,1.39,5.803450584,57.32,809.84
MDA-2018,Moldova,MDA,2018,3920,0.12,3.46,1.34,5.811628819,57.52,827.61
MDA-2019,Moldova,MDA,2019,4580,0.12,3.45,1.34,5.76639986,57.17,860.19
MCO-2015,Monaco,MCO,2015,,0.91,3.45,1.08,5.325530529,31.4,3729.56
MCO-2016,Monaco,MCO,2016,,0.93,4.47,1.07,,31.24,3102.07
MCO-2017,Monaco,MCO,2017,,0.94,4.46,1.06,,31.11,3057.19
MCO-2018,Monaco,MCO,2018,,0.95,4.46,1.05,,30.93,2982.88
MCO-2019,Monaco,MCO,2019,,0.96,4.47,1.04,,30.74,3079.91
MNG-2015,Mongolia,MNG,2015,3800,0.13,4.47,2.78,,36.96,456.35
MNG-2016,Mongolia,MNG,2016,3490,0.14,4.25,2.68,5.464622974,37.83,475.21
MNG-2017,Mongolia,MNG,2017,3240,0.14,4.26,2.63,5.562905312,38.22,453.04
MNG-2018,Mongolia,MNG,2018,3690,0.14,4.24,2.53,6.011364937,38.74,470.46
MNG-2019,Mongolia,MNG,2019,3850,0.14,4.2,2.38,5.677199841,39.46,484.39
MNE-2015,Montenegro,MNE,2015,7260,0.16,4.24,1.7,5.333850384,58.88,1462.45
MNE-2016,Montenegro,MNE,2016,7090,0.16,3.03,1.73,5.650189877,58.71,1558.64
MNE-2017,Montenegro,MNE,2017,7410,0.16,3.04,1.72,5.386024952,58.65,1563.1
MNE-2018,Montenegro,MNE,2018,8450,0.16,3.04,1.72,5.722162724,58.39,1838.01
MNE-2019,Montenegro,MNE,2019,9140,0.17,3.03,1.71,5.580500126,58.05,1983.61
MAR-2015,Morocco,MAR,2015,3020,0.19,3.02,1.15,5.614798546,49.63,361.25
MAR-2016,Morocco,MAR,2016,2880,0.19,5.32,1.14,4.896791935,50.09,378.43
MAR-2017,Morocco,MAR,2017,2880,0.19,5.32,1.13,5.056751728,50.54,388.71
MAR-2018,Morocco,MAR,2018,3090,0.19,5.32,1.12,4.80261755,50.98,413.17
MAR-2019,Morocco,MAR,2019,3200,0.2,5.32,1.12,4.918000221,51.32,424.5
MOZ-2015,Mozambique,MOZ,2015,640,0.08,5.33,0.83,5.312482834,10.9,86.73
MOZ-2016,Mozambique,MOZ,2016,530,0.08,5.04,0.86,4.653713703,11.22,97.81
MOZ-2017,Mozambique,MOZ,2017,470,0.08,5.04,0.88,4.932132721,11.52,99.6
MOZ-2018,Mozambique,MOZ,2018,460,0.08,5.06,0.9,,11.77,106.91
MOZ-2019,Mozambique,MOZ,2019,490,0.09,5.09,0.92,4.794499874,11.96,104.82
MMR-2015,Myanmar,MMR,2015,1170,0.09,5.04,0.5,4.279863358,30.35,224.89
MMR-2016,Myanmar,MMR,2016,1200,0.09,2.23,0.5,4.410633087,31.02,206.13
MMR-2017,Myanmar,MMR,2017,1180,0.09,2.22,0.47,4.43423748,31.12,214.63
MMR-2018,Myanmar,MMR,2018,1220,0.1,2.24,0.46,4.431364059,32.46,222.52
MMR-2019,Myanmar,MMR,2019,1270,0.1,2.26,0.46,4.425799847,32.86,226.83
NAM-2015,Namibia,NAM,2015,5310,0.16,2.23,1.28,4.154341698,18.1,1061.32
NAM-2016,Namibia,NAM,2016,4740,0.16,3.71,1.3,4.834087849,18.39,972.05
NAM-2017,Namibia,NAM,2017,4620,0.16,3.71,1.32,4.435811043,18.74,887.53
NAM-2018,Namibia,NAM,2018,4920,0.17,3.72,1.37,4.451010227,19.39,859.92
NAM-2019,Namibia,NAM,2019,5170,0.17,3.74,1.37,4.574100018,19.83,867.35
NRU-2015,Nauru,NRU,2015,13690,0.11,3.71,3.26,4.441306114,34.18,1803.03
NRU-2016,Nauru,NRU,2016,12720,0.11,3.28,3.27,,34.28,1462.48
NRU-2017,Nauru,NRU,2017,12310,0.11,3.28,3.28,,34.47,1498.89
NRU-2018,Nauru,NRU,2018,14500,0.12,3.28,3.27,,34.61,1207.64
NRU-2019,Nauru,NRU,2019,16230,0.12,3.29,3.25,,34.75,1389.73
NPL-2015,Nepal,NPL,2015,890,0.1,3.28,1.74,,21.29,163.78
NPL-2016,Nepal,NPL,2016,880,0.1,5,1.82,4.910086632,22.71,162.15
NPL-2017,Nepal,NPL,2017,990,0.11,5.01,1.81,5.448724747,23.16,168.34
NPL-2018,Nepal,NPL,2018,1120,0.11,5.03,1.81,,23.64,171.21
NPL-2019,Nepal,NPL,2019,1230,0.11,5.06,1.82,5.268899918,24.04,176.96
NLD-2015,Netherlands,NLD,2015,49850,0.41,5,1.41,4.736692429,26.82,5203.8
NLD-2016,Netherlands,NLD,2016,46930,0.42,3.83,1.4,7.463097095,26.81,5398.93
NLD-2017,Netherlands,NLD,2017,47160,0.42,3.88,1.36,7.42526865,26.97,5602.59
NLD-2018,Netherlands,NLD,2018,51320,0.42,3.89,1.32,7.504447937,27.04,6009.47
NLD-2019,Netherlands,NLD,2019,53230,0.42,3.9,1.28,7.464000225,27.11,6248.15
NZL-2015,New Zealand,NZL,2015,40660,0.65,3.79,1.64,7.458965302,34.25,3475.54
NZL-2016,New Zealand,NZL,2016,39440,0.66,4.13,1.63,7.370285988,34.39,3734.82
NZL-2017,New Zealand,NZL,2017,38870,0.67,4.13,1.59,7.205174446,34.42,3875.54
NZL-2018,New Zealand,NZL,2018,41650,0.67,4.13,1.52,7.257381916,34.6,4095.71
NZL-2019,New Zealand,NZL,2019,43050,0.67,4.12,1.49,7.276599884,34.63,4439.35
NIC-2015,Nicaragua,NIC,2015,1890,0.17,4.13,1.27,7.32718277,27.2,421.55
NIC-2016,Nicaragua,NIC,2016,1960,0.17,3.45,1.33,5.81895256,27.18,458.3
NIC-2017,Nicaragua,NIC,2017,2030,0.17,3.46,1.26,6.112545013,27.44,500.54
NIC-2018,Nicaragua,NIC,2018,1970,0.17,3.46,1.22,,27.86,500.9
NIC-2019,Nicaragua,NIC,2019,1890,0.18,3.45,1.21,5.972099781,28.12,474.52
NER-2015,Niger,NER,2015,560,0.08,3.45,0.42,6.476356506,7.57,61.24
NER-2016,Niger,NER,2016,530,0.08,4.26,0.43,5.164007187,7.83,52.04
NER-2017,Niger,NER,2017,520,0.08,4.27,0.45,5.003544331,8.14,64.86
NER-2018,Niger,NER,2018,570,0.08,4.28,0.47,,8.37,65.05
NER-2019,Niger,NER,2019,590,0.08,4.3,0.48,5.074100018,8.51,72.48
NGA-2015,Nigeria,NGA,2015,2820,0.13,4.25,0.45,4.615673542,9.24,194.37
NGA-2016,Nigeria,NGA,2016,2430,0.13,3.86,0.46,5.252288342,9.45,190.95
NGA-2017,Nigeria,NGA,2017,2090,0.13,3.87,0.47,4.356419086,9.74,194.81
NGA-2018,Nigeria,NGA,2018,1960,0.13,3.87,0.49,5.502948284,10,163.21
NGA-2019,Nigeria,NGA,2019,2030,0.13,3.87,0.5,4.759300232,10.27,162.31
NIU-2015,Niue,NIU,2015,,0.12,3.86,1.02,5.321928024,39.24,1178.73
NIU-2016,Niue,NIU,2016,,0.12,3.3,1.02,,39.18,1070.5
NIU-2017,Niue,NIU,2017,,0.12,3.3,1.03,,39.18,1246.34
NIU-2018,Niue,NIU,2018,,0.12,3.3,1.03,,39.15,1400.97
NIU-2019,Niue,NIU,2019,,0.12,3.3,1.03,,39.09,959.27
PRK-2015,North Korea,PRK,2015,,0.07,3.29,1.3,,42.48,
PRK-2016,North Korea,PRK,2016,,0.07,2.82,1.28,,42.54,
PRK-2017,North Korea,PRK,2017,,0.07,2.82,1.27,,42.84,
PRK-2018,North Korea,PRK,2018,,0.07,2.82,1.26,,43.05,
PRK-2019,North Korea,PRK,2019,,0.07,2.83,1.24,,43.3,
MKD-2015,North Macedonia,MKD,2015,5130,0.15,2.83,0.9,,58.16,876.98
MKD-2016,North Macedonia,MKD,2016,5000,0.15,2.74,0.9,5.239834785,57.96,961.88
MKD-2017,North Macedonia,MKD,2017,4940,0.15,2.74,0.89,5.015485287,58.21,1035.25
MKD-2018,North Macedonia,MKD,2018,5500,0.15,2.75,0.88,5.053664207,58.34,1127.28
MKD-2019,North Macedonia,MKD,2019,5890,0.15,2.76,0.88,5.101200104,58.35,1313.56
-2015,Northern Ireland,,2015,,0.44,4.8,1.42,,28.93,
-2016,Northern Ireland,,2016,,0.45,4.7,1.34,,28.75,
-2017,Northern Ireland,,2017,,0.45,4.61,1.27,,29.23,
-2018,Northern Ireland,,2018,,0.45,4.6,1.23,,29.54,
-2019,Northern Ireland,,2019,,0.45,4.61,1.19,,29.77,
MNP-2015,Northern Mariana Islands,MNP,2015,,0.15,2.9,2.53,,32.24,
MNP-2016,Northern Mariana Islands,MNP,2016,,0.15,2.9,2.5,,32.71,
MNP-2017,Northern Mariana Islands,MNP,2017,,0.16,2.9,2.41,,32.81,
MNP-2018,Northern Mariana Islands,MNP,2018,,0.16,2.91,2.32,,32.74,
MNP-2019,Northern Mariana Islands,MNP,2019,,0.16,2.93,2.24,,33.05,
NOR-2015,Norway,NOR,2015,92910,0.49,3.41,1.4,7.578744888,31.02,6142.44
NOR-2016,Norway,NOR,2016,81370,0.5,3.49,1.41,7.444262028,30.64,6271.01
NOR-2017,Norway,NOR,2017,75650,0.51,3.55,1.4,7.442139626,30.34,6630.84
NOR-2018,Norway,NOR,2018,80320,0.51,3.55,1.37,7.290032387,30.7,7009.25
NOR-2019,Norway,NOR,2019,81670,0.51,3.51,1.36,7.392499924,30.74,7217.39
OMN-2015,Oman,OMN,2015,20160,0.28,4.07,0.88,,40.94,1349.44
OMN-2016,Oman,OMN,2016,18190,0.28,4.05,0.87,,40.86,1260.2
OMN-2017,Oman,OMN,2017,16130,0.28,4.05,0.88,,40.99,1154.78
OMN-2018,Oman,OMN,2018,16370,0.28,4.08,0.92,,40.46,1201.93
OMN-2019,Oman,OMN,2019,16430,0.28,4.13,0.95,,40.39,1160.78
PAK-2015,Pakistan,PAK,2015,1260,0.12,3.98,1.08,5.830870628,21.04,117.51
PAK-2016,Pakistan,PAK,2016,1360,0.12,3.97,1.1,5.471553802,21.35,127.58
PAK-2017,Pakistan,PAK,2017,1490,0.12,3.97,1.12,4.442717552,21.72,132.67
PAK-2018,Pakistan,PAK,2018,1670,0.13,4.02,1.15,,22.34,155.46
PAK-2019,Pakistan,PAK,2019,1620,0.13,4.1,1.18,4.934000015,22.73,165.55
PLW-2015,Palau,PLW,2015,15860,0.12,3.26,1.33,,30.88,2028.04
PLW-2016,Palau,PLW,2016,16720,0.12,3.25,1.31,,30.96,2188.93
PLW-2017,Palau,PLW,2017,16540,0.13,3.25,1.29,,31.11,2163.06
PLW-2018,Palau,PLW,2018,17380,0.13,3.25,1.26,,31.21,2085.19
PLW-2019,Palau,PLW,2019,16710,0.13,3.25,1.23,,31.3,2901.93
PSE-2015,Palestine,PSE,2015,,0.16,6.89,0.69,4.62813282,38.14,
PSE-2016,Palestine,PSE,2016,,0.17,6.69,0.7,4.5539217,38.91,
PSE-2017,Palestine,PSE,2017,,0.17,6.54,0.7,4.48253727,39.74,
PSE-2018,Palestine,PSE,2018,,0.17,6.53,0.71,,39.59,
PSE-2019,Palestine,PSE,2019,,0.17,6.54,0.75,4.516699791,40.39,
PAN-2015,Panama,PAN,2015,12200,0.29,3.11,1,6.567658901,26.61,1724
PAN-2016,Panama,PAN,2016,12780,0.29,3.12,0.99,6.281434059,26.82,2037.56
PAN-2017,Panama,PAN,2017,13750,0.29,3.12,0.99,6.085955143,26.84,2103.31
PAN-2018,Panama,PAN,2018,14490,0.3,3.12,1.01,,26.79,2308.35
PAN-2019,Panama,PAN,2019,14920,0.3,3.12,1,6.179599762,26.88,2490.95
PNG-2015,Papua New Guinea,PNG,2015,2860,0.08,3.14,0.41,,21.18,72.21
PNG-2016,Papua New Guinea,PNG,2016,2710,0.08,3.14,0.41,,21.25,96.67
PNG-2017,Papua New Guinea,PNG,2017,2590,0.08,3.14,0.41,,21.57,95.63
PNG-2018,Papua New Guinea,PNG,2018,2600,0.08,3.14,0.42,,21.93,97.35
PNG-2019,Papua New Guinea,PNG,2019,2720,0.08,3.14,0.41,,22.28,104.61
PRY-2015,Paraguay,PRY,2015,5640,0.22,3.91,1.26,5.71329546,28.09,768.64
PRY-2016,Paraguay,PRY,2016,5420,0.22,3.91,1.27,,28.41,803.85
PRY-2017,Paraguay,PRY,2017,5370,0.22,3.91,1.27,5.652625561,28.6,832.11
PRY-2018,Paraguay,PRY,2018,5600,0.23,3.91,1.26,,28.8,884.37
PRY-2019,Paraguay,PRY,2019,5510,0.23,3.9,1.25,5.652599812,29.02,950.14
PER-2015,Peru,PER,2015,6340,0.3,2.31,0.66,5.710936546,18.13,580.98
PER-2016,Peru,PER,2016,6110,0.3,2.31,0.66,5.679661274,18.3,606.99
PER-2017,Peru,PER,2017,6060,0.31,2.32,0.66,5.999381542,18.6,624.02
PER-2018,Peru,PER,2018,6480,0.31,2.32,0.66,,18.89,690.16
PER-2019,Peru,PER,2019,6840,0.31,2.33,0.67,5.839600086,19.18,711.63
PHL-2015,Philippines,PHL,2015,3380,0.1,2.85,0.68,5.594270229,31.18,280.16
PHL-2016,Philippines,PHL,2016,3450,0.1,2.86,0.69,5.869172573,31.28,304.67
PHL-2017,Philippines,PHL,2017,3530,0.11,2.86,0.7,6.267745018,31.31,321.62
PHL-2018,Philippines,PHL,2018,3710,0.11,2.87,0.71,5.079585075,31.72,344.91
PHL-2019,Philippines,PHL,2019,3850,0.11,2.89,0.71,5.880199909,31.97,379.24
POL-2015,Poland,POL,2015,13310,0.19,2.29,1.78,6.201268196,42.63,1716.9
POL-2016,Poland,POL,2016,12720,0.2,2.29,1.73,6.111485004,42.45,1850.92
POL-2017,Poland,POL,2017,12730,0.2,2.3,1.7,6.24209404,42.65,1972.37
POL-2018,Poland,POL,2018,14150,0.2,2.36,1.66,6.139455318,42.89,2023.38
POL-2019,Poland,POL,2019,15360,0.2,2.48,1.62,6.166100025,43.03,2206.54
PRT-2015,Portugal,PRT,2015,20460,0.45,4.71,1.33,5.711499214,31.06,2758.88
PRT-2016,Portugal,PRT,2016,19940,0.46,4.76,1.25,5.919822693,31.12,2964.8
PRT-2017,Portugal,PRT,2017,20060,0.46,4.81,1.19,6.095473289,31.57,3072.32
PRT-2018,Portugal,PRT,2018,22060,0.46,4.81,1.18,5.767792225,31.86,3285.7
PRT-2019,Portugal,PRT,2019,23200,0.46,4.81,1.17,5.928999901,32.09,3517.72
PRI-2015,Puerto Rico,PRI,2015,19420,0.33,2.98,0.85,,26.02,
PRI-2016,Puerto Rico,PRI,2016,19710,0.33,2.98,0.8,,26.13,
PRI-2017,Puerto Rico,PRI,2017,20000,0.33,2.99,0.75,,24.73,
PRI-2018,Puerto Rico,PRI,2018,21080,0.33,3.01,0.77,,26.68,
PRI-2019,Puerto Rico,PRI,2019,22060,0.33,3.04,0.76,,26.82,
QAT-2015,Qatar,QAT,2015,73440,0.36,4.15,3.39,,24.22,2789.95
QAT-2016,Qatar,QAT,2016,64550,0.37,4.15,3.31,,24.3,2698.73
QAT-2017,Qatar,QAT,2017,56920,0.37,4.15,3.16,,24.67,2731.58
QAT-2018,Qatar,QAT,2018,58830,0.37,4.17,3.06,,25.05,2446.27
QAT-2019,Qatar,QAT,2019,61180,0.37,4.21,2.97,,25.34,2736.82
ROU-2015,Romania,ROU,2015,9600,0.16,2.83,0.93,6.089904785,56.71,1065.93
ROU-2016,Romania,ROU,2016,9620,0.17,2.83,0.89,6.150878906,56.46,1210.83
ROU-2017,Romania,ROU,2017,10110,0.17,2.83,0.87,6.129942417,56.46,1398.55
ROU-2018,Romania,ROU,2018,11430,0.17,2.83,0.85,,56.85,1672.6
ROU-2019,Romania,ROU,2019,12620,0.17,2.83,0.83,6.139999866,57.26,1906.59
RUS-2015,Russia,RUS,2015,11780,0.17,3.36,2.42,5.578742981,55.56,1288.07
RUS-2016,Russia,RUS,2016,9730,0.17,3.36,2.33,5.513500214,55.55,1288.6
RUS-2017,Russia,RUS,2017,9210,0.17,3.36,2.27,5.440523624,55.7,1406.2
RUS-2018,Russia,RUS,2018,10250,0.17,3.35,2.26,5.495288849,55.94,1570.78
RUS-2019,Russia,RUS,2019,11280,0.17,3.32,2.18,5.477200031,56.2,1704.04
RWA-2015,Rwanda,RWA,2015,750,0.09,5.19,0.99,3.10837388,15.14,120.08
RWA-2016,Rwanda,RWA,2016,740,0.09,5.2,1.01,3.5610466,15.42,131.03
RWA-2017,Rwanda,RWA,2017,730,0.09,5.22,1.04,3.268152237,15.96,126.21
RWA-2018,Rwanda,RWA,2018,780,0.1,5.23,1.08,,16.69,142.84
RWA-2019,Rwanda,RWA,2019,830,0.1,5.25,1.1,3.414700031,17.26,145.74
KNA-2015,Saint Kitts and Nevis,KNA,2015,,0.3,4.13,0.5,,31.2,1271.22
KNA-2016,Saint Kitts and Nevis,KNA,2016,,0.3,4.13,0.49,,31,1403.86
KNA-2017,Saint Kitts and Nevis,KNA,2017,,0.3,4.13,0.5,,30.93,1419.12
KNA-2018,Saint Kitts and Nevis,KNA,2018,,0.3,4.14,0.49,,30.89,1382.91
KNA-2019,Saint Kitts and Nevis,KNA,2019,,0.3,4.15,0.45,,31.36,1506.51
LCA-2015,Saint Lucia,LCA,2015,,0.22,3.4,1.06,,30.7,620.8
LCA-2016,Saint Lucia,LCA,2016,,0.23,3.4,0.99,,31.44,702.05
LCA-2017,Saint Lucia,LCA,2017,,0.23,3.4,0.98,,31.6,696.13
LCA-2018,Saint Lucia,LCA,2018,,0.23,3.43,0.97,,31.69,690.31
LCA-2019,Saint Lucia,LCA,2019,,0.23,3.47,0.96,,31.71,697.71
VCT-2015,Saint Vincent and the Grenadines,VCT,2015,,0.22,3.45,0.78,,34.56,475.56
VCT-2016,Saint Vincent and the Grenadines,VCT,2016,,0.22,3.44,0.79,,34.51,518.78
VCT-2017,Saint Vincent and the Grenadines,VCT,2017,,0.22,3.44,0.81,,34.63,529.55
VCT-2018,Saint Vincent and the Grenadines,VCT,2018,,0.22,3.46,0.8,,34.64,576.08
VCT-2019,Saint Vincent and the Grenadines,VCT,2019,,0.22,3.51,0.8,,34.64,620.3
